Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Order Status,Shipment Status,Ship Date,Shipping Option,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details
Amazon.ca,701-8892299-1469041,08/11/2022 20:08:06 UTC,,CAD,27.99,1.4,0,0,29.39,27.99,1.4,B00FGP3JAW,New,1,Closed,Shipped,08/12/2022 01:13:10 UTC,next-ca,AMZN_CA(TBC488531362009),"Webber Naturals Coenzyme Q10 (CoQ10) 200mg, 60 Softgels, High Potency Antioxidant, For Heart Health, Cellular Energy Production, and Migraine Support",,,
Amazon.ca,701-5721624-9305845,07/15/2022 17:48:57 UTC,,CAD,12.99,1.56,0,0,14.55,12.99,1.56,B00KOO0U5M,New,1,Closed,Shipped,07/16/2022 10:53:00 UTC,next-ca,AMZN_CA(TBC470824687009),"M&B SnowGuard Boot Protector, 300g/10.5oz, Protects Against Rain, Snow & Sleet (14900)",,,
Amazon.ca,701-0769026-4317861,07/15/2022 17:48:57 UTC,,CAD,8.99,1.08,0,0,10.07,30.98,3.72,B00D8VVE1W,New,1,Closed,Shipped,07/15/2022 21:42:41 UTC,same-ca,AMZN_CA(TBC470684239009),"Moneysworth & Best Shoe Care Leather Cleaner, 4-Ounce",,,
Amazon.ca,701-0769026-4317861,07/15/2022 17:48:57 UTC,,CAD,21.99,2.64,0,0,24.63,30.98,3.72,B07PFHB9Z8,New,1,Closed,Shipped,07/15/2022 21:42:41 UTC,same-ca,AMZN_CA(TBC470684239009),"5 Pack Labelife TZe-231 P Touch Label Maker Tape, TZe Tape 12mm 0.47 inch Laminated White Compatible with Brother P-Touch PTH110, PT-D210, PTD600, PTD",,,
